Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
503699,GEODESIC,GEODESIC LTD.,17 Aug 2007,Bonus issue 1:2,21 Aug 2007,-,-,13 Aug 2007,20 Aug 2007,-
512167,MATRAREAL,MATRA REALTY LTD.,17 Aug 2007,Bonus issue 5:1,27 Aug 2007,-,-,17 Aug 2007,24 Aug 2007,-
517063,JETKINGQ,JETKING INFOTRAIN LTD.,22 Aug 2007,Bonus issue 1:1,23 Aug 2007,-,-,16 Aug 2007,22 Aug 2007,-
500304,NIITLTD,NIIT LTD.,24 Aug 2007,Bonus issue 1:2,31 Aug 2007,-,-,24 Aug 2007,30 Aug 2007,-
532628,3IINFOTECH,3I INFOTECH LTD.,27 Aug 2007,Bonus issue 1:1,28 Aug 2007,-,-,21 Aug 2007,27 Aug 2007,-
500031,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,28 Aug 2007,Bonus issue 1:1,29 Aug 2007,-,-,22 Aug 2007,28 Aug 2007,-
500039,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,30 Aug 2007,Bonus issue 1:1,31 Aug 2007,-,-,24 Aug 2007,30 Aug 2007,-
517334,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.,30 Aug 2007,Bonus issue 1:2,31 Aug 2007,-,-,24 Aug 2007,30 Aug 2007,-
532541,NIITTECH,NIIT TECHNOLOGIES LTD.,30 Aug 2007,Bonus issue 1:2,31 Aug 2007,-,-,24 Aug 2007,30 Aug 2007,-
507878,UNITECH,UNITECH LTD.,30 Aug 2007,Bonus issue 1:1,31 Aug 2007,-,-,24 Aug 2007,30 Aug 2007,-
590057,PROSEED,Proseed India Ltd,31 Aug 2007,Bonus issue 1:1,03 Sep 2007,-,-,27 Aug 2007,31 Aug 2007,-
512233,JAYTEX,JAYBHARAT TEXTILES & REAL ESTATE LTD.,03 Sep 2007,Bonus issue 1:1,04 Sep 2007,-,-,28 Aug 2007,03 Sep 2007,-
531638,SURAJLTD,SURAJ LTD.-$,14 Sep 2007,Bonus issue 2:1,17 Sep 2007,-,-,10 Sep 2007,14 Sep 2007,-
513303,MDRNSTL,MODERN STEELS LTD.-$,28 Sep 2007,Bonus issue 3:2,01 Oct 2007,-,-,24 Sep 2007,28 Sep 2007,-
519287,MODAIRY,MODERN DAIRIES LTD.,28 Sep 2007,Bonus issue 1:1,01 Oct 2007,-,-,24 Sep 2007,28 Sep 2007,-
532389,VALECHAENG,VALECHA ENGINEERING LTD.-$,04 Oct 2007,Bonus issue 1:2,05 Oct 2007,-,-,27 Sep 2007,04 Oct 2007,-
512237,JAICORPLTD,JAI CORP LTD.,05 Oct 2007,Bonus issue 1:1,12 Oct 2007,-,-,05 Oct 2007,11 Oct 2007,-
505700,ELECON,ELECON ENGINEERING CO.LTD.,10 Oct 2007,Bonus issue 2:1,11 Oct 2007,-,-,04 Oct 2007,10 Oct 2007,-
503101,MARATHON,MARATHON NEXTGEN REALTY LTD.,12 Oct 2007,Bonus issue 2:1,15 Oct 2007,-,-,08 Oct 2007,12 Oct 2007,-
532686,KERNEX,KERNEX MICROSYSTEMS (INDIA) LTD.,16 Oct 2007,Bonus issue 1:10,17 Oct 2007,-,-,10 Oct 2007,16 Oct 2007,-
532299,TV18,TELEVISION EIGHTEEN INDIA LTD.,17 Oct 2007,Bonus issue 1:1,18 Oct 2007,-,-,11 Oct 2007,17 Oct 2007,-
527001,ASHAPURMIN,ASHAPURA MINECHEM LTD.,18 Oct 2007,Bonus issue 1:1,19 Oct 2007,-,-,12 Oct 2007,18 Oct 2007,-
532605,JBMA,JBM AUTO LTD.,24 Oct 2007,Bonus issue 1:2,25 Oct 2007,-,-,18 Oct 2007,24 Oct 2007,-
500243,KIRLOSIND,Kirloskar Industries Ltd,25 Oct 2007,Bonus issue 1:1,27 Oct 2007,-,-,22 Oct 2007,25 Oct 2007,-
532391,OPTOCIRCUI,OPTO CIRCUITS (INDIA) LTD.,25 Oct 2007,Bonus issue 1:2,26 Oct 2007,-,-,19 Oct 2007,25 Oct 2007,-
505526,DOLAT,DOLAT INVESTMENTS LTD.,29 Oct 2007,Bonus issue 1:1,30 Oct 2007,-,-,23 Oct 2007,29 Oct 2007,-
531591,BAMPSL,BAMPSL SECURITIES LTD.,02 Nov 2007,Bonus issue 2:5,05 Nov 2007,-,-,29 Oct 2007,02 Nov 2007,-
524689,PARENTLD,PARENTERAL DRUGS (INDIA) LTD.-$,02 Nov 2007,Bonus issue 1:1,05 Nov 2007,-,-,29 Oct 2007,02 Nov 2007,-
512018,CNIRESLTD,CNI RESEARCH LTD.,05 Nov 2007,Bonus issue 1:2,06 Nov 2007,-,-,30 Oct 2007,05 Nov 2007,-
517973,DMCEDU,DMC Education Ltd,12 Nov 2007,Bonus issue 1:1,13 Nov 2007,-,-,05 Nov 2007,12 Nov 2007,-
505506,AXONVL,Axon Ventures Ltd,15 Nov 2007,Bonus issue 3:1,16 Nov 2007,-,-,08 Nov 2007,15 Nov 2007,-
